code,time,media,condition,treatment,trace,date,abs,O2,no3,ph,glu
M9,0,M9,aerobic,none,none,24Nov22,0.096,7.19355,none,none,none
M9,0,M9,aerobic,none,none,27Nov24,0.103,7.19355,none,100,
M9,0,M9,aerobic,none,none,27Nov24,0.098,7.19355,none,100,
M9,0,M9,aerobic,none,none,27Nov24,0.098,7.19355,none,100,
M9,3,M9,aerobic,none,none,27Nov24,0.141,7.19355,none,,
M9,3,M9,aerobic,none,none,27Nov24,0.149,7.19355,none,,
M9,3,M9,aerobic,none,none,27Nov24,0.138,7.19355,none,,
M9,6,M9,aerobic,none,none,27Nov24,0.188,7.19355,none,,
M9,6,M9,aerobic,none,none,27Nov24,0.21,7.19355,none,,
M9,6,M9,aerobic,none,none,27Nov24,0.192,7.19355,none,,
M9,9,M9,aerobic,none,none,27Nov24,0.212,7.19355,none,94.6,
M9,9,M9,aerobic,none,none,27Nov24,0.23,7.19355,none,102,
M9,9,M9,aerobic,none,none,27Nov24,0.202,7.19355,none,98.9,
M9,12,M9,aerobic,none,none,27Nov24,0.264,7.19355,none,93.4,
M9,12,M9,aerobic,none,none,27Nov24,0.308,7.19355,none,104.2,
M9,12,M9,aerobic,none,none,27Nov24,0.269,7.19355,none,74.78,
M9,15,M9,aerobic,none,none,27Nov24,0.236,7.19355,none,,
M9,15,M9,aerobic,none,none,27Nov24,0.243,7.19355,none,,
M9,15,M9,aerobic,none,none,27Nov24,0.231,7.19355,none,,
M9,18,M9,aerobic,none,none,27Nov24,0.284,7.19355,none,100,
M9,18,M9,aerobic,none,none,27Nov24,0.216,7.19355,none,120,
M9,18,M9,aerobic,none,none,27Nov24,0.266,7.19355,none,104,
M9,21,M9,aerobic,none,none,27Nov24,0.234,7.19355,none,,
M9,21,M9,aerobic,none,none,27Nov24,0.244,7.19355,none,,
M9,21,M9,aerobic,none,none,27Nov24,0.301,7.19355,none,,
M9,24,M9,aerobic,none,none,27Nov24,0.348,7.19355,none,90.6,
