Gene,Category,Protein,logFC,AveExpr,t,P.Value,adj.P.Val,B,count,sca.t,sca.P.Value,sca.adj.pval,significance,log.sca.pval
pykA,Fermentation,242384E_coliDH5_02263,1.086812072,31.26508437,12.14855015,0.000000007293111027,0.0000001809162058,10.63935039,16,15.30175661,0.0000000001098170676,0.000000004444701316,Significant,9.959330157
grcA,Fermentation,242384E_coliDH5_01504,5.754316069,30.65377709,11.76937982,0.00000001098710458,0.0000002586454109,10.21489187,4,12.25727916,0.000000002566263927,0.00000006365990193,Significant,8.590698681
pflB,Fermentation,242384E_coliDH5_00245,1.455128411,33.37350707,10.30628588,0.00000005953859097,0.000001064771546,8.460004819,50,11.78477513,0.00000000443531145,0.0000001007020523,Significant,8.353075878
ppc,Fermentation,242384E_coliDH5_02880,0.9487458715,32.72515586,8.31309511,0.0000008249068184,0.000009374679952,5.721710406,43,10.03285417,0.00000003985370924,0.0000006760478471,Not Significant,7.399531252
pta,Fermentation,242384E_coliDH5_01047,0.8462508965,30.76893677,7.54647301,0.000002553073911,0.00002517069023,4.544123403,17,8.823153001,0.0000002164515514,0.000002797817599,Not Significant,6.664639297
fumB,Fermentation,242384E_coliDH5_00834,5.335837424,23.60491756,8.529350257,0.000000607481545,0.000007415131875,6.040649135,1,8.680683694,0.0000002670180993,0.000003276652953,Significant,6.5734593
aceF,Fermentation,242384E_coliDH5_01238,-0.7184689497,31.86653071,-6.173163986,0.00002336241142,0.0001663490221,2.240818547,22,-7.236440028,0.000002580093876,0.00002280565736,Not Significant,5.588364492
frdA,Fermentation,242384E_coliDH5_00798,3.863576539,25.52803871,6.825718699,0.000007905589562,0.00006774700415,3.367093817,1,6.912846313,0.000004450515458,0.00003693287468,Significant,5.351589686
ackA,Fermentation,242384E_coliDH5_01046,0.7042684841,29.73707844,5.38567633,0.00009340557265,0.0005455358383,0.8054372676,10,5.94449216,0.00002477462544,0.0001656668432,Not Significant,4.605992903
aceE,Fermentation,242384E_coliDH5_01237,-0.4338979294,32.62945947,-4.439773605,0.0005497800462,0.002429775032,-1.016821045,45,-5.739150302,0.00003624786792,0.0002303686812,Not Significant,4.440717533
mhpF,Fermentation,242384E_coliDH5_04257,0.895852109,25.54233915,3.429915722,0.004021527541,0.01283217709,-3.030173789,2,3.516737409,0.003033713134,0.009885277117,Not Significant,2.518025488
mdh_2,Fermentation,242384E_coliDH5_03876,0.3780159477,32.91275104,2.985249036,0.00976270158,0.0264039303,-3.90901372,15,3.377863255,0.00404420024,0.01243995994,Not Significant,2.393167349
icd_1,Fermentation,242384E_coliDH5_03204,0.3567268407,33.53582621,2.384167746,0.03169004321,0.0693633109,-5.045982774,44,2.69140901,0.01652618979,0.03989831483,Not Significant,1.781827264
adhP,Fermentation,242384E_coliDH5_00391,-0.6988984992,21.48804651,-2.046441864,0.05981062902,0.1156606212,-5.637888471,1,-1.981508835,0.06579775808,0.124729193,Not Significant,1.181788904
lpdA,Fermentation,242384E_coliDH5_01239,-0.111632929,31.65446057,-0.9514543926,0.357384039,0.4719433188,-7.127351551,28,-1.123217929,0.2786612821,0.3930527547,Not Significant,0.5549233691
adhE,Fermentation,242384E_coliDH5_02207,0.06800480749,33.54770993,0.5886805224,0.5653784166,0.6681119406,-7.413096085,57,0.7123435498,0.4869738814,0.5999994986,Not Significant,0.3124943313
gltA,Fermentation,242384E_coliDH5_00061,0.1059280928,31.89730398,0.592559724,0.5628498908,0.6665783872,-7.410707867,19,0.6450149861,0.5284716442,0.6366496518,Not Significant,0.2769783103
ldhA,Fermentation,242384E_coliDH5_03586,-0.01433492653,29.27558702,-0.1139123632,0.9109118137,0.9406775086,-7.589017332,8,-0.1247042507,0.9023814128,0.9342822662,Not Significant,0.04460985886
fhuA,Metal homeostasis,242384E_coliDH5_01273,-2.877461312,30.23879513,-26.82181525,0,0,21.36169212,19,-31.95630704,0,0,Significant,14.70087668
entC,Metal homeostasis,242384E_coliDH5_03553,-8.32579307,26.11345202,-34.68619224,0,0,24.64047434,1,-31.47758261,0,0,Significant,14.60199789
fhuE,Metal homeostasis,242384E_coliDH5_03238,-8.814404697,25.31481599,-33.52964211,0,0,24.220901,1,-31.05482342,0,0,Significant,14.51345627
fecR,Metal homeostasis,242384E_coliDH5_02530,-5.230984861,23.34366185,-27.95123872,0,0,21.90112271,1,-23.60238826,0,0,Significant,12.72565493
fiu,Metal homeostasis,242384E_coliDH5_00147,-7.67904943,26.09966227,-18.03541549,0,0.000000002444443394,16.01601943,1,-17.899776,0,0.0000000007858081913,Significant,10.9492171
fepA,Metal homeostasis,242384E_coliDH5_03563,-6.574463447,27.15604685,-17.90206593,0,0.000000002560947629,15.91456244,1,-17.49458472,0,0.000000000929455249,Significant,10.8037545
fecA,Metal homeostasis,242384E_coliDH5_02531,-4.448014403,23.36778337,-17.99859628,0,0.000000002445217224,15.98808303,1,-16.44593009,0,0.00000000202775291,Significant,10.41257988
cirA,Metal homeostasis,242384E_coliDH5_03045,-9.286362717,26.30206674,-15.31658899,0.0000000003444807447,0.00000001589434156,13.78141828,1,-15.56597553,0,0.000000003733852891,Significant,10.06661452
entE,Metal homeostasis,242384E_coliDH5_03552,-6.604312763,25.84091492,-14.50454407,0.0000000007117854225,0.00000002716229589,13.03817541,1,-14.47874479,0.0000000002430252229,0.000000008625525989,Significant,9.61434865
fhuC,Metal homeostasis,242384E_coliDH5_01274,-4.310256792,24.19725649,-13.3733008,0.000000002081501315,0.00000006417765471,11.93461785,1,-12.84285651,0.000000001333862053,0.00000003620258537,Significant,8.874889082
entF,Metal homeostasis,242384E_coliDH5_03560,-9.722709747,26.16115431,-11.50528778,0.00000001471182743,0.0000003327469204,9.912222273,1,-11.82896611,0.000000004210882418,0.00000009812704858,Significant,8.375626885
entB,Metal homeostasis,242384E_coliDH5_03551,-5.529171133,27.93428465,-11.4387562,0.0000000158483288,0.0000003482104243,9.835035884,1,-11.47074083,0.000000006444441178,0.0000001391559368,Significant,8.190814736
fepC,Metal homeostasis,242384E_coliDH5_03558,-3.724637368,23.43376862,-9.606721294,0.0000001429422272,0.000002228160257,7.548390313,1,-9.446019409,0.00000008880490636,0.000001296664044,Significant,7.051563039
feoB,Metal homeostasis,242384E_coliDH5_01643,-5.144045728,24.77244287,-8.455912604,0.0000006735820982,0.000008135884296,5.932976714,1,-8.594953778,0.0000003033215458,0.000003663679613,Significant,6.518096739
entA,Metal homeostasis,242384E_coliDH5_03550,-6.482037694,26.29543821,-5.983911716,0.00003234186253,0.000223623158,1.903350292,1,-6.182437448,0.00001605516399,0.0001129245833,Significant,4.794385254
fepB,Metal homeostasis,242384E_coliDH5_03554,-2.898965041,25.59870117,-6.136660484,0.00002486531941,0.0001759640855,2.176103343,1,-6.143386291,0.00001723066404,0.0001204580059,Significant,4.763697985
feoA,Metal homeostasis,242384E_coliDH5_01642,-3.107250828,23.35985331,-3.776281688,0.00201765629,0.007330288285,-2.337638107,1,-3.879877137,0.001432089931,0.005391716011,Significant,2.844029709
fhuD,Metal homeostasis,242384E_coliDH5_01275,-2.048886437,22.40141829,-3.8166948,0.001862276366,0.00687403452,-2.256756784,1,-3.85383842,0.001511074443,0.005586616571,Significant,2.82071414
modA,Metal homeostasis,242384E_coliDH5_00105,0.4406206448,27.10382866,2.368453614,0.03265845495,0.07119420826,-5.074444454,3,2.444884211,0.02703986973,0.06044668552,Not Significant,1.567995405
entD,Metal homeostasis,242384E_coliDH5_03564,-0.7606943961,21.36334998,-2.009194182,0.06403990167,0.1217381725,-5.700322336,1,-1.970406056,0.06716486753,0.1270076634,Not Significant,1.172857837
narG_2,Nitrate reduction,242384E_coliDH5_02224,9.069149707,26.05051893,40.27602765,0,0,26.43093687,1,35.96605202,0,0,Significant,15.47657573
narH,Nitrate reduction,242384E_coliDH5_02222,8.135897602,25.63417941,25.83446871,0,0,20.86756576,1,24.72244664,0,0,Significant,13.02630794
narG_1,Nitrate reduction,242384E_coliDH5_02223,6.239004083,24.55684618,26.86795833,0,0,21.38425785,1,24.18432692,0,0,Significant,12.88351753
narJ,Nitrate reduction,242384E_coliDH5_02221,6.324496595,24.59460967,23.27254426,0,0.0000000001583170959,19.47612404,1,21.70074187,0,0,Significant,12.18276305
nrfA,Nitrate reduction,242384E_coliDH5_00888,5.831315679,23.5902802,18.54344435,0,0.000000001885938431,16.39560897,1,17.74125919,0,0.0000000008083004511,Significant,10.89267135
napA,Nitrate reduction,242384E_coliDH5_00952,3.444860287,23.36763147,13.27936035,0.000000002283497751,0.00000006931617515,11.83913685,1,12.26480488,0.000000002544356925,0.00000006365990193,Significant,8.594421965
