Gene,Category,Protein,logFC,AveExpr,t,P.Value,adj.P.Val,B,count,sca.t,sca.P.Value,sca.adj.pval,significance,log.sca.pval
gatY,Other,242384E_coliDH5_03105,5.317499171,29.82339654,39.55598617,0,0,26.22056724,2,38.9564558,0,0,Significant,16.00187458
lysC,Other,242384E_coliDH5_00938,9.232566312,25.94573248,40.3410714,0,0,26.4500748,1,36.17734126,0,0,Significant,15.51507084
narG_2,Nitrate reduction,242384E_coliDH5_02224,8.926260658,26.05051893,39.64145843,0,0,26.24586587,1,35.39938865,0,0,Significant,15.37223228
fhuA,Metal homeostasis,242384E_coliDH5_01273,-2.983799222,30.23879513,-27.8130278,0,0,21.83665134,19,-33.13726709,0,0,Significant,14.93876951
yncE,Other,242384E_coliDH5_03854,-3.913804011,29.82295702,-28.80236558,0,0,22.29072885,9,-31.48367946,0,0,Significant,14.60326633
entC,Metal homeostasis,242384E_coliDH5_03553,-8.08107025,26.11345202,-33.66664938,0,0,24.27182355,1,-30.55235149,0,0,Significant,14.40668555
fhuE,Metal homeostasis,242384E_coliDH5_03238,-8.627460856,25.31481599,-32.81851523,0,0,23.95362692,1,-30.39618473,0,0,Significant,14.37315444
hybC,Other,242384E_coliDH5_03924,6.341716233,24.6699764,35.04777633,0,0,24.76813674,1,29.24788816,0,0,Significant,14.12134903
miaB,Other,242384E_coliDH5_00005,8.24783957,26.53837066,30.08719854,0,0,22.85276631,1,28.103129,0,0,Significant,13.86061902
fliC,Other,242384E_coliDH5_02329,8.375961089,25.13953132,27.99518137,0,0,21.92170852,1,26.56853957,0,0,Significant,13.49456149
narG_1,Nitrate reduction,242384E_coliDH5_02223,6.733686928,24.55684618,28.99828521,0,0,22.37840207,1,26.10187201,0,0,Significant,13.37920754
ynjE,Other,242384E_coliDH5_00672,7.248432618,24.88902606,27.33673058,0,0,21.61104297,1,25.36416057,0,0,Significant,13.19276018
narH,Nitrate reduction,242384E_coliDH5_02222,8.221605387,25.63417941,26.10662246,0,0,21.00605102,1,24.98288578,0,0,Significant,13.0943544
argI,Other,242384E_coliDH5_00700,3.382866597,28.41407427,23.83777187,0,0.0000000001092454958,19.79771979,4,24.90060273,0,0,Significant,13.07292929
gpmA,Other,242384E_coliDH5_00097,-2.923698544,32.85856994,-21.65193262,0,0.0000000003301185345,18.5035918,31,-24.77056528,0,0,Significant,13.03893154
fepA,Metal homeostasis,242384E_coliDH5_03563,-8.977305849,27.15604685,-24.44493341,0,0,20.13363863,1,-23.8885255,0,0,Significant,12.80373236
rspA,Other,242384E_coliDH5_00493,-10.62840072,25.94019992,-23.95806998,0,0.0000000001092454958,19.86504327,1,-23.86397983,0,0,Significant,12.79706961
ydcP_2,Other,242384E_coliDH5_03837,5.960669065,24.42251089,25.81992254,0,0,20.86021167,1,23.20650514,0,0,Significant,12.61613631
bfr,Other,242384E_coliDH5_01570,5.216247994,28.07920142,22.43737151,0,0.0000000002225514037,18.9846757,2,22.91470549,0,0,Significant,12.53427175
gltD,Other,242384E_coliDH5_02049,3.780246142,31.10031835,20.52106853,0,0.000000000541056419,17.77641197,16,22.21149503,0,0,Significant,12.3328601
carB,Other,242384E_coliDH5_01157,2.001024193,31.32911571,18.27393328,0,0.00000000167340078,16.19556275,26,21.97391305,0,0,Significant,12.26344994
aroF,Other,242384E_coliDH5_03482,5.949389818,30.6018737,20.59235868,0,0.0000000005350864834,17.82351823,5,21.51841931,0,0,Significant,12.12837669
trpC,Other,242384E_coliDH5_02125,-2.853751718,31.11850097,-19.24664923,0,0.00000000103831993,16.90360833,18,-21.37607267,0,0,Significant,12.08561313
araF,Other,242384E_coliDH5_02307,5.331632796,24.16418077,23.80846674,0,0.0000000001092454958,19.78126118,1,21.22964925,0,0,Significant,12.04134491
narJ,Nitrate reduction,242384E_coliDH5_02221,6.01876227,24.59460967,22.14751944,0,0.0000000002534405499,18.8093307,1,20.65170001,0,0.0000000001262801659,Significant,11.86377244
trpA,Other,242384E_coliDH5_02127,-2.397802907,31.44321495,-18.17921746,0,0.000000001709153782,16.12454423,13,-20.30171717,0,0.000000000156352839,Significant,11.75396848
argA,Other,242384E_coliDH5_01757,2.665954858,27.7403783,19.54275553,0,0.000000000952581203,17.11174488,3,20.02740375,0,0.0000000001840857322,Significant,11.6666637
acnB,Other,242384E_coliDH5_01241,4.861770924,30.83655841,18.73288505,0,0.000000001314004795,16.53439376,9,19.75687032,0,0.0000000002105001361,Significant,11.57946483
sodB,Other,242384E_coliDH5_00570,5.740635481,29.40042537,19.19366293,0,0.00000000103831993,16.86600915,2,19.75049699,0,0.0000000002105001361,Significant,11.57739722
nuoE,Other,242384E_coliDH5_01034,5.886707586,25.24180443,20.97197037,0,0.0000000004687408502,18.07143472,1,19.67794196,0,0.0000000002148379562,Significant,11.55381533
sufS,Other,242384E_coliDH5_00595,-2.337375686,28.23108766,-19.16920511,0,0.00000000103831993,16.84861714,3,-19.56792829,0,0.0000000002258300567,Significant,11.51790416
katG,Other,242384E_coliDH5_02867,1.618852531,30.49382137,16.54636483,0.0000000001222435902,0.000000004796751491,14.83729,11,19.41311374,0,0.0000000002459502452,Significant,11.46705036
fldC,Other,242384E_coliDH5_02480,5.539086486,24.86526903,20.83794251,0,0.0000000004816514877,17.9844603,1,19.34424633,0,0.0000000002473473392,Significant,11.44430776
gltB,Other,242384E_coliDH5_02048,3.639176629,32.46664962,17.83925851,0,0.000000002041276106,15.866477,33,19.32519649,0,0.0000000002473473392,Significant,11.43800354
fiu,Metal homeostasis,242384E_coliDH5_00147,-8.27459446,26.09966227,-19.43414357,0,0.0000000009783607723,17.03578781,1,-19.28798462,0,0.0000000002473473392,Significant,11.42567231
aceB,Other,242384E_coliDH5_04226,4.210876735,28.62346857,22.81522714,0,0.0000000001861732821,19.20952607,1,19.1732376,0,0.0000000002625648962,Significant,11.38750843
ytfQ,Other,242384E_coliDH5_00723,5.271667346,26.24743806,20.80847835,0,0.0000000004816514877,17.96525925,1,19.12011822,0,0.0000000002647952965,Significant,11.36976979
unknown,Other,242384E_coliDH5_02691,4.717909884,24.03601482,21.54007719,0,0.0000000003390299273,18.43352478,1,19.0919766,0,0.0000000002647952965,Significant,11.36035373
rpoS,Other,242384E_coliDH5_01834,2.914336824,28.74942889,18.04920597,0,0.000000001814424028,16.02643928,5,19.01469944,0,0.0000000002738747348,Significant,11.33443102
aceA,Other,242384E_coliDH5_04225,2.420600739,30.72960528,17.13988819,0,0.000000003187875892,15.31945202,10,18.7534033,0,0.0000000003272916738,Significant,11.24605265
sufD,Other,242384E_coliDH5_00596,-2.114170816,27.84357909,-18.22191514,0,0.000000001700774921,16.15660621,3,-18.56340251,0,0.0000000003708436272,Significant,11.18107292
cspB,Other,242384E_coliDH5_00470,-6.301514278,25.02838175,-19.18917822,0,0.00000000103831993,16.8628218,1,-18.47875643,0,0.0000000003871429976,Significant,11.1519269
hypB,Other,242384E_coliDH5_01849,6.445666066,24.84508564,19.03135922,0,0.000000001115426258,16.75015834,1,18.40662449,0,0.0000000004004850659,Significant,11.12699281
fecA,Metal homeostasis,242384E_coliDH5_02531,-4.966054075,23.36778337,-20.09480957,0,0.0000000006961001712,17.49104746,1,-18.36131153,0,0.0000000004057995304,Significant,11.11128338
katE,Other,242384E_coliDH5_00647,2.592739676,31.09655517,16.44867348,0.0000000001323866539,0.000000005006819844,14.75627873,20,18.16882549,0,0.0000000004631091497,Significant,11.04415172
oppD,Other,242384E_coliDH5_02198,6.178253063,24.21950421,18.40211384,0,0.000000001557248399,16.29107213,1,17.77653755,0,0.000000000623726493,Significant,10.90529557
ribB,Other,242384E_coliDH5_03969,2.250778767,27.06612936,18.15705013,0,0.000000001709153782,16.10786809,2,17.71844814,0,0.0000000006404031255,Significant,10.88449629
argD,Other,242384E_coliDH5_01594,2.519712968,29.79712134,16.52036433,0.000000000124859482,0.000000004800847084,14.81577535,6,17.57441326,0,0.0000000007065652594,Significant,10.83265408
exbD,Other,242384E_coliDH5_03935,-4.933778705,24.41901812,-18.9523438,0,0.000000001150167647,16.69338372,1,-17.51741033,0,0.0000000007216141974,Significant,10.81203009
btuD_4,Other,242384E_coliDH5_02197,5.43325873,24.21637595,18.49848067,0,0.000000001485106018,16.36242565,1,17.50014829,0,0.0000000007216141974,Significant,10.80577252
exbB,Other,242384E_coliDH5_03936,-4.082907088,26.03543799,-19.92656476,0,0.0000000007548121685,17.37663287,1,-17.32484156,0,0.0000000008195482542,Significant,10.74190289
rcnR,Other,242384E_coliDH5_03096,4.909345384,24.33291458,18.56676592,0,0.000000001447018429,16.41275432,1,17.21712044,0,0.0000000008803989405,Significant,10.70236474
nrfA,Nitrate reduction,242384E_coliDH5_00888,5.636338286,23.5902802,17.92342091,0,0.000000001954202445,15.9308317,1,17.14805782,0,0.0000000009159550615,Significant,10.67689756
leuC_2,Other,242384E_coliDH5_01198,4.79001546,29.29507169,16.37586379,0.0000000001405292526,0.000000005229048156,14.69558987,4,17.0631551,0,0.0000000009664788591,Significant,10.64546148
nuoC,Other,242384E_coliDH5_01035,2.498498909,29.07483274,15.85085301,0.0000000002176886054,0.000000007278371198,14.2499347,6,16.83862556,0,0.00000000115092109,Significant,10.56163936
yebF,Other,242384E_coliDH5_02255,-5.371218367,26.12645037,-17.66489583,0,0.00000000228605313,15.73215946,1,-16.80991176,0,0.000000001158810852,Significant,10.55084701
