code,time,media,condition,treatment,trace,date,psu
M9_HP,0,M9,aerobic,high purity,none,5Jul24,15.8
M9_HP,0,M9,aerobic,high purity,none,5Jul24,19.5
M9_HP,12,M9,aerobic,high purity,none,5Jul24,31.4
M9_HP,12,M9,aerobic,high purity,none,5Jul24,31.8
M9_HP,15,M9,aerobic,high purity,none,5Jul24,35.8
M9_HP,15,M9,aerobic,high purity,none,5Jul24,37.3
M9_HP,18,M9,aerobic,high purity,none,5Jul24,39.5
M9_HP,18,M9,aerobic,high purity,none,5Jul24,40.5
M9_HP,21,M9,aerobic,high purity,none,5Jul24,44.2
M9_HP,21,M9,aerobic,high purity,none,5Jul24,43.4
M9_HP,24,M9,aerobic,high purity,none,5Jul24,42.9
M9_HP,24,M9,aerobic,high purity,none,5Jul24,39.7
M9_HP,36,M9,aerobic,high purity,none,5Jul24,46.3
M9_HP,36,M9,aerobic,high purity,none,5Jul24,41.4
HP+Fe/Cu_12h,0,M9,aerobic,high purity,Fe/Cu_12h,5Jul24,22.7
HP+Fe/Cu_12h,0,M9,aerobic,high purity,Fe/Cu_12h,5Jul24,23
HP+Fe/Cu_12h,12,M9,aerobic,high purity,Fe/Cu_12h,5Jul24,36.8
HP+Fe/Cu_12h,12,M9,aerobic,high purity,Fe/Cu_12h,5Jul24,39.4
HP+Fe/Cu_12h,15,M9,aerobic,high purity,Fe/Cu_12h,5Jul24,38
HP+Fe/Cu_12h,15,M9,aerobic,high purity,Fe/Cu_12h,5Jul24,36.1
HP+Fe/Cu_12h,18,M9,aerobic,high purity,Fe/Cu_12h,5Jul24,39.5
HP+Fe/Cu_12h,18,M9,aerobic,high purity,Fe/Cu_12h,5Jul24,41.9
HP+Fe/Cu_12h,21,M9,aerobic,high purity,Fe/Cu_12h,5Jul24,44.4
HP+Fe/Cu_12h,21,M9,aerobic,high purity,Fe/Cu_12h,5Jul24,40.4
HP+Fe/Cu_12h,24,M9,aerobic,high purity,Fe/Cu_12h,5Jul24,43.7
HP+Fe/Cu_12h,24,M9,aerobic,high purity,Fe/Cu_12h,5Jul24,42.4
HP+Fe/Cu_12h,36,M9,aerobic,high purity,Fe/Cu_12h,5Jul24,44.5
HP+Fe/Cu_12h,36,M9,aerobic,high purity,Fe/Cu_12h,5Jul24,50.1
HP_Fe/Cu,0,M9,aerobic,high purity,Fe/Cu,5Jul24,7.8
HP_Fe/Cu,0,M9,aerobic,high purity,Fe/Cu,5Jul24,9.3
HP_Fe/Cu,12,M9,aerobic,high purity,Fe/Cu,5Jul24,28.3
HP_Fe/Cu,12,M9,aerobic,high purity,Fe/Cu,5Jul24,29.2
HP_Fe/Cu,15,M9,aerobic,high purity,Fe/Cu,5Jul24,35.9
HP_Fe/Cu,15,M9,aerobic,high purity,Fe/Cu,5Jul24,31.5
HP_Fe/Cu,18,M9,aerobic,high purity,Fe/Cu,5Jul24,34.7
HP_Fe/Cu,18,M9,aerobic,high purity,Fe/Cu,5Jul24,33.4
HP_Fe/Cu,21,M9,aerobic,high purity,Fe/Cu,5Jul24,32.4
HP_Fe/Cu,21,M9,aerobic,high purity,Fe/Cu,5Jul24,34.7
