condition,code,media,treatment,trace,aw,date,Mn,Fe,Co,Ni,Cu,Zn,Mo
blank,blank,blank,blank,blank,blank,NA,0.0000,0.6340,0.0000,0.0000,0.0130,0.0660,0.0000
blank,blank,blank,blank,blank,blank,NA,0.0810,2.7590,0.0030,0.4820,0.0540,0.0000,0.1250
blank,blank,blank,blank,blank,blank,Jan25,0.005,0.000,0.001,0.000,0.028,0.000,0.029
depleted,M9,M9,none,none,no,Jan25,0.848,53.966,0.221,1.980,0.838,21.817,8.464
depleted,M9,M9,none,none,no,Jan25,0.847,53.602,0.216,2.091,0.870,21.619,8.521
depleted,M9,M9,none,none,no,Jan25,0.836,53.176,0.212,1.993,0.846,21.327,8.310
depleted,M9,M9,none,none,no,Jan25,0.861,54.695,0.220,1.982,0.874,22.216,8.649
depleted,M9,M9,none,none,no,Jan25,0.847,52.162,0.218,2.035,0.837,21.232,8.318
depleted,M9,M9,none,none,no,Jan25,0.809,51.208,0.214,1.867,0.852,20.942,8.278
depleted,M9HP,M9HP,high-purity,none,yes,Jan25,0.799,5.297,0.013,0.782,0.416,0.713,0.612
depleted,M9HP,M9HP,high-purity,none,yes,Jan25,0.761,5.227,0.013,0.744,0.413,0.710,0.606
depleted,M9HP,M9HP,high-purity,none,yes,Jan25,0.734,5.042,0.021,0.765,0.486,0.597,0.586
depleted,M9HP,M9HP,high-purity,none,yes,Jan25,0.762,5.122,0.022,0.722,0.476,0.592,0.585
depleted,M9HP,M9HP,high-purity,none,yes,Jan25,0.745,4.983,0.013,0.694,0.369,0.563,0.627
depleted,M9HP,M9HP,high-purity,none,yes,Jan25,0.726,4.955,0.014,0.702,0.376,0.568,0.610
depleted,M9PC,M9PC,chelex,none,yes,Mar24,0.0000,2.8740,0.0000,0.0000,0.0000,0.0000,0.2820
depleted,M9PC,M9PC,chelex,none,yes,Mar24,0.4420,2.6600,0.0730,0.0000,0.0000,0.0000,NA
depleted,M9PC,M9PC,chelex,none,yes,Jan25,0.052,2.256,0.060,0.249,0.339,1.460,0.413
depleted,M9PC,M9PC,chelex,none,yes,Jan25,0.038,2.190,0.055,0.243,0.354,1.228,0.411
depleted,M9PC,M9PC,chelex,none,yes,Jan25,0.041,2.157,0.056,0.220,0.383,1.243,0.417
depleted,M9PC,M9PC,chelex,none,yes,Jan25,0.034,2.242,0.060,0.218,0.386,1.126,0.415
depleted,M9PC,M9PC,chelex,none,yes,Jan25,0.037,2.158,0.057,0.227,0.371,1.131,0.405
theoretical,SL10,SL10,theoretical,TE,no,NA,27.4690,421.0713,47.0640,5.9280,0.7625,33.3439,14.2980
rich,TE,M9,none,TE,no,Feb23,25.3995,414.9425,34.4570,4.9835,0.3430,34.5175,24.8450
rich,TE,M9,none,TE,yes,Feb23,24.9840,NA,33.5710,5.4755,1.0400,19.3080,24.6835
rich,TE,M9,none,TE,no,Jan25,30.677,503.515,52.655,11.511,2.059,41.858,25.878
rich,TE,M9,none,TE,no,Jan25,31.313,512.559,53.816,10.088,1.923,42.062,26.607
rich,TE,M9,none,TE,no,Jan25,29.277,477.033,49.855,7.496,1.238,38.535,24.995
rich,TE,M9,none,TE,no,Jan25,28.718,469.137,49.491,7.192,1.253,38.006,24.810
rich,TE,M9,none,TE,no,Jan25,27.728,448.751,47.055,7.058,1.171,36.851,23.879
rich,TE,M9,none,TE,no,Jan25,27.398,446.345,46.789,6.904,1.097,37.022,23.890
