domain_name,domain_accession,query_name,query_accession,sequence_evalue,sequence_score,sequence_bias,best_domain_evalue,best_domain_score,best_domain_bis,domain_number_exp,domain_number_reg,domain_number_clu,domain_number_ov,domain_number_env,domain_number_dom,domain_number_rep,domain_number_inc,genome_id
3300027319.a:Ga0207870_100201_22,NA,Nitrate_red_gam,PF02665.19,1.2e-90,315.4,11.9,1.4e-90,315.2,11.9,1,1,0,0,1,1,1,1,3300027319_1
3300025847.a:Ga0209607_1002840_1,NA,Nitrate_red_gam,PF02665.19,6.7e-90,313,9.9,7.5e-90,312.8,9.9,1,1,0,0,1,1,1,1,3300025847_30
3300006846.a:Ga0075430_100032250_2,NA,Nitrate_red_gam,PF02665.19,7.5e-90,312.8,10.5,8.5e-90,312.7,10.5,1,1,0,0,1,1,1,1,3300006846_16
3300006847.a:Ga0075431_100031051_4,NA,Nitrate_red_gam,PF02665.19,7.5e-90,312.8,10.5,8.5e-90,312.7,10.5,1,1,0,0,1,1,1,1,3300006847_24
3300006853.a:Ga0075420_100023682_2,NA,Nitrate_red_gam,PF02665.19,7.5e-90,312.8,10.5,8.5e-90,312.7,10.5,1,1,0,0,1,1,1,1,3300006853_22
3300006880.a:Ga0075429_100022197_4,NA,Nitrate_red_gam,PF02665.19,7.5e-90,312.8,10.5,8.5e-90,312.7,10.5,1,1,0,0,1,1,1,1,3300006880_14
3300027880.a:Ga0209481_10000015_29,NA,Nitrate_red_gam,PF02665.19,7.5e-90,312.8,10.5,8.5e-90,312.7,10.5,1,1,0,0,1,1,1,1,3300027880_7
3300026284.a:Ga0209792_1000002_887,NA,Nitrate_red_gam,PF02665.19,1e-89,312.4,9.9,1.2e-89,312.2,9.9,1,1,0,0,1,1,1,1,3300026284_11
3300026288.a:Ga0209572_1003244_3,NA,Nitrate_red_gam,PF02665.19,1e-89,312.4,9.9,1.2e-89,312.2,9.9,1,1,0,0,1,1,1,1,3300026288_29
3300026303.a:Ga0209793_1000017_394,NA,Nitrate_red_gam,PF02665.19,1e-89,312.4,9.9,1.2e-89,312.2,9.9,1,1,0,0,1,1,1,1,3300026303_12
3300026303.a:Ga0209793_1001324_7,NA,Nitrate_red_gam,PF02665.19,1e-89,312.4,9.9,1.2e-89,312.2,9.9,1,1,0,0,1,1,1,1,3300026303_10
3300011507.a:Ga0121048_100022_11,NA,Nitrate_red_gam,PF02665.19,1.3e-89,312.1,15.5,1.4e-89,311.9,15.5,1,1,0,0,1,1,1,1,3300011507_4
3300011808.a:Ga0121061_100007_140,NA,Nitrate_red_gam,PF02665.19,1.3e-89,312.1,15.5,1.4e-89,311.9,15.5,1,1,0,0,1,1,1,1,3300011808_2
3300011904.a:Ga0121683_100619_3,NA,Nitrate_red_gam,PF02665.19,1.3e-89,312.1,15.5,1.4e-89,311.9,15.5,1,1,0,0,1,1,1,1,3300011904_9
3300012194.a:Ga0121026_100071_21,NA,Nitrate_red_gam,PF02665.19,1.3e-89,312.1,15.5,1.4e-89,311.9,15.5,1,1,0,0,1,1,1,1,3300012194_5
3300014065.a:Ga0121062_10097_5,NA,Nitrate_red_gam,PF02665.19,1.3e-89,312.1,15.5,1.4e-89,311.9,15.5,1,1,0,0,1,1,1,1,3300014065_2
3300003689.a:OlimDRAFT_100163_3,NA,Nitrate_red_gam,PF02665.19,1.5e-89,311.9,10.1,1.7e-89,311.7,10.1,1,1,0,0,1,1,1,1,3300003689_2
3300026286.a:Ga0209460_1000128_36,NA,Nitrate_red_gam,PF02665.19,5.6e-89,310,8.2,6.4e-89,309.8,8.2,1,1,0,0,1,1,1,1,3300026286_9
3300026288.a:Ga0209572_1000249_36,NA,Nitrate_red_gam,PF02665.19,5.6e-89,310,8.2,6.4e-89,309.8,8.2,1,1,0,0,1,1,1,1,3300026288_10
3300026303.a:Ga0209793_1000205_28,NA,Nitrate_red_gam,PF02665.19,5.6e-89,310,8.2,6.4e-89,309.8,8.2,1,1,0,0,1,1,1,1,3300026303_10
3300006847.a:Ga0075431_100011627_7,NA,Nitrate_red_gam,PF02665.19,5.9e-89,309.9,10.4,6.7e-89,309.7,10.4,1,1,0,0,1,1,1,1,3300006847_41
3300025530.a:Ga0207866_1000440_23,NA,Nitrate_red_gam,PF02665.19,6e-89,309.9,12.4,6.8e-89,309.7,12.4,1,1,0,0,1,1,1,1,3300025530_2
3300025571.a:Ga0207874_1001545_5,NA,Nitrate_red_gam,PF02665.19,6e-89,309.9,12.4,6.8e-89,309.7,12.4,1,1,0,0,1,1,1,1,3300025571_12
3300025572.a:Ga0207864_1001417_10,NA,Nitrate_red_gam,PF02665.19,6e-89,309.9,12.4,6.8e-89,309.7,12.4,1,1,0,0,1,1,1,1,3300025572_11
3300026825.a:Ga0209909_100093_138,NA,Nitrate_red_gam,PF02665.19,7.6e-89,309.5,11.3,8.6e-89,309.4,11.3,1,1,0,0,1,1,1,1,3300026825_7
3300025475.a:Ga0208478_1003307_5,NA,Nitrate_red_gam,PF02665.19,8.1e-89,309.5,7.3,9.2e-89,309.3,7.3,1,1,0,0,1,1,1,1,3300025475_2
3300015194.a:Ga0167666_1000198_15,NA,Nitrate_red_gam,PF02665.19,8.3e-89,309.4,14.5,9.4e-89,309.2,14.5,1,1,0,0,1,1,1,1,3300015194_7
3300026283.a:Ga0209368_1000177_19,NA,Nitrate_red_gam,PF02665.19,2.3e-88,308,11.4,2.6e-88,307.8,11.4,1,1,0,0,1,1,1,1,3300026283_14
3300026286.a:Ga0209460_1000153_68,NA,Nitrate_red_gam,PF02665.19,2.3e-88,308,11.4,2.6e-88,307.8,11.4,1,1,0,0,1,1,1,1,3300026286_14
3300026287.a:Ga0209571_1000236_19,NA,Nitrate_red_gam,PF02665.19,2.3e-88,308,11.4,2.6e-88,307.8,11.4,1,1,0,0,1,1,1,1,3300026287_15
3300026288.a:Ga0209572_1000280_68,NA,Nitrate_red_gam,PF02665.19,2.3e-88,308,11.4,2.6e-88,307.8,11.4,1,1,0,0,1,1,1,1,3300026288_21
3300026299.a:Ga0209570_1000309_19,NA,Nitrate_red_gam,PF02665.19,2.3e-88,308,11.4,2.6e-88,307.8,11.4,1,1,0,0,1,1,1,1,3300026299_19
