domain_name,domain_accession,query_name,query_accession,sequence_evalue,sequence_score,sequence_bias,best_domain_evalue,best_domain_score,best_domain_bis,domain_number_exp,domain_number_reg,domain_number_clu,domain_number_ov,domain_number_env,domain_number_dom,domain_number_rep,domain_number_inc,genome_id
3300010372.a:Ga0114984_1003023_5,NA,Cyt_bd_oxida_I,PF01654.22,4.6e-186,631,30.4,5.2e-186,630.9,30.4,1,1,0,0,1,1,1,1,3300010372_12
3300018405.a:Ga0194138_10008714_3,NA,Cyt_bd_oxida_I,PF01654.22,4.6e-186,631,30.4,5.2e-186,630.9,30.4,1,1,0,0,1,1,1,1,3300018405_23
3300010372.a:Ga0114984_1002220_3,NA,Cyt_bd_oxida_I,PF01654.22,1.8e-185,629.1,30.9,2e-185,628.9,30.9,1,1,0,0,1,1,1,1,3300010372_9
3300017920.a:Ga0182237_100058_47,NA,Cyt_bd_oxida_I,PF01654.22,1.8e-185,629.1,30.9,2e-185,628.9,30.9,1,1,0,0,1,1,1,1,3300017920_2
3300027930.a:Ga0208153_100086_37,NA,Cyt_bd_oxida_I,PF01654.22,1.5e-183,622.7,32,1.7e-183,622.6,32,1,1,0,0,1,1,1,1,3300027930_6
3300025856.a:Ga0209604_1000475_3,NA,Cyt_bd_oxida_I,PF01654.22,2.8e-183,621.9,20,3.2e-183,621.7,20,1,1,0,0,1,1,1,1,3300025856_21
3300025784.a:Ga0209200_1000025_160,NA,Cyt_bd_oxida_I,PF01654.22,6e-183,620.8,20.5,6.8e-183,620.6,20.5,1,1,0,0,1,1,1,1,3300025784_23
3300025859.a:Ga0209096_1000042_159,NA,Cyt_bd_oxida_I,PF01654.22,6e-183,620.8,20.5,6.8e-183,620.6,20.5,1,1,0,0,1,1,1,1,3300025859_24
3300025861.a:Ga0209605_1000030_160,NA,Cyt_bd_oxida_I,PF01654.22,6e-183,620.8,20.5,6.8e-183,620.6,20.5,1,1,0,0,1,1,1,1,3300025861_24
3300025593.a:Ga0210096_1002189_5,NA,Cyt_bd_oxida_I,PF01654.22,1.3e-182,619.7,19.1,1.5e-182,619.5,19.1,1,1,0,0,1,1,1,1,3300025593_10
3300025615.a:Ga0210086_1001122_11,NA,Cyt_bd_oxida_I,PF01654.22,1.3e-182,619.7,19.1,1.5e-182,619.5,19.1,1,1,0,0,1,1,1,1,3300025615_16
3300026510.a:Ga0256840_1000382_19,NA,Cyt_bd_oxida_I,PF01654.22,2.4e-182,618.8,20.8,2.7e-182,618.6,20.8,1,1,0,0,1,1,1,1,3300026510_16
3300005068.a:Ga0070769_1090449_8,NA,Cyt_bd_oxida_I,PF01654.22,1.5e-180,612.9,17.4,1.7e-180,612.7,17.4,1,1,0,0,1,1,1,1,3300005068_19
3300005078.a:Ga0070770_10101895_5,NA,Cyt_bd_oxida_I,PF01654.22,1.5e-180,612.9,17.4,1.7e-180,612.7,17.4,1,1,0,0,1,1,1,1,3300005078_15
3300027536.a:Ga0209163_1000084_107,NA,Cyt_bd_oxida_I,PF01654.22,1.5e-180,612.9,25.6,1.7e-180,612.7,25.6,1,1,0,0,1,1,1,1,3300027536_27
