domain_name,domain_accession,query_name,query_accession,sequence_evalue,sequence_score,sequence_bias,best_domain_evalue,best_domain_score,best_domain_bis,domain_number_exp,domain_number_reg,domain_number_clu,domain_number_ov,domain_number_env,domain_number_dom,domain_number_rep,domain_number_inc,genome_id
3300005078.a:Ga0070770_10238261_3,NA,dsrA,TIGR02064.1,2.9e-207,700.8,1.5,3.5e-207,700.6,1.5,1,1,0,0,1,1,1,1,3300005078_12
3300028622.a:Ga0302253_1000597_12,NA,dsrA,TIGR02064.1,5.9e-205,693.3,0,6.7e-205,693.1,0,1,1,0,0,1,1,1,1,3300028622_6
3300028624.a:Ga0302246_1001688_5,NA,dsrA,TIGR02064.1,5.9e-205,693.3,0,6.7e-205,693.1,0,1,1,0,0,1,1,1,1,3300028624_11
3300002481.a:JGI24020J35080_1000037_151,NA,dsrA,TIGR02064.1,9.9e-202,682.6,2.2,1.2e-201,682.4,2.2,1,1,0,0,1,1,1,1,3300002481_23
3300027323.a:Ga0209426_1000618_31,NA,dsrA,TIGR02064.1,9.9e-202,682.6,2.2,1.2e-201,682.4,2.2,1,1,0,0,1,1,1,1,3300027323_40
3300026278.a:Ga0209018_1000279_18,NA,dsrA,TIGR02064.1,4.2e-199,674,0,4.8e-199,673.8,0,1,1,0,0,1,1,1,1,3300026278_16
3300002481.a:JGI24020J35080_1000565_22,NA,dsrA,TIGR02064.1,4.5e-196,664,3.5,5.2e-196,663.8,3.5,1,1,0,0,1,1,1,1,3300002481_21
3300000385.a:PR_CR_10_Liq_1_inCRDRAFT_1000876_6,NA,dsrA,TIGR02064.1,1.2e-195,662.6,0.2,1.4e-195,662.4,0.2,1,1,0,0,1,1,1,1,3300000385_4
3300013829.a:Ga0119854_100630_5,NA,dsrA,TIGR02064.1,3.2e-195,661.2,0,3.6e-195,661,0,1,1,0,0,1,1,1,1,3300013829_4
3300005298.a:Ga0071330_1063008_76,NA,dsrA,TIGR02064.1,1.1e-194,659.4,1.3,1.3e-194,659.2,1.3,1,1,0,0,1,1,1,1,3300005298_17
3300011118.a:Ga0114922_10001774_5,NA,dsrA,TIGR02064.1,1.6e-194,658.9,0.2,1.8e-194,658.8,0.2,1,1,0,0,1,1,1,1,3300011118_40
3300005300.a:Ga0072500_159775_26,NA,dsrA,TIGR02064.1,1.8e-194,658.7,1.5,2.1e-194,658.5,1.5,1,1,0,0,1,1,1,1,3300005300_15
3300026534.a:Ga0256841_1000666_6,NA,dsrA,TIGR02064.1,3.6e-194,657.7,0.1,4.1e-194,657.6,0.1,1,1,0,0,1,1,1,1,3300026534_21
3300004087.a:Ga0066190_10000180_8,NA,dsrA,TIGR02064.1,5.2e-194,657.2,0.1,5.9e-194,657,0.1,1,1,0,0,1,1,1,1,3300004087_5
3300024305.a:Ga0247728_10111_3,NA,dsrA,TIGR02064.1,6.5e-194,656.9,0,7.3e-194,656.7,0,1,1,0,0,1,1,1,1,3300024305_2
3300004086.a:Ga0066191_10000299_7,NA,dsrA,TIGR02064.1,7.4e-194,656.7,0.1,8.4e-194,656.5,0.1,1,1,0,0,1,1,1,1,3300004086_4
3300000236.a:TB_FS08_3DRAFT_1001889_6,NA,dsrA,TIGR02064.1,1e-193,656.2,0,1.2e-193,656.1,0,1,1,0,0,1,1,1,1,3300000236_9
3300009702.a:Ga0114931_10006516_12,NA,dsrA,TIGR02064.1,1.9e-193,655.3,0.2,2.2e-193,655.2,0.2,1,1,0,0,1,1,1,1,3300009702_82
3300004630.a:Ga0049105_1003819_9,NA,dsrA,TIGR02064.1,2.2e-193,655.2,0.1,2.5e-193,655,0.1,1,1,0,0,1,1,1,1,3300004630_7
3300006000.a:Ga0056123_1000165_13,NA,dsrA,TIGR02064.1,2.3e-193,655.1,0.1,2.6e-193,654.9,0.1,1,1,0,0,1,1,1,1,3300006000_5
